patch_id,center_x,center_y,width,amplitude,start_step,duration_steps,recovery_steps,scenario_family,seed
1,0.8564500890456107,0.14699859994321313,0.06666123983833054,0.6937537502708553,5,4,2,moving_center,9209
2,0.5572564218543637,0.3684304609172696,0.07208879709749617,0.7500058798570406,3,5,2,moving_center,9209
3,0.10008430298630074,0.22923169693999862,0.08064899273699414,0.9372288541886863,4,4,2,moving_center,9209
1,0.7279330250123238,0.6972972065555579,0.12685618844071497,0.8193790944116163,3,4,2,dual_center,9207
1,0.20119393293519486,0.49715259518353827,0.11854551126863208,0.865014867644121,2,5,2,dual_center,9208
2,0.5042442627018141,0.6991165405532636,0.13043096010480304,0.7056611857759426,2,5,2,dual_center,9208
1,0.801215552324031,0.37544673669055434,0.0823881531036992,0.626221730539963,4,4,2,dual_center,9209
2,0.2605572027385037,0.6263193844976574,0.11193008384656963,0.7468231119634214,2,3,2,dual_center,9209
3,0.6804143502583327,0.7300262958371077,0.10374434007604985,0.6394024773435396,5,3,2,dual_center,9209
1,0.10774461662737896,0.5155384008055354,0.0912496163791352,0.6613903366889299,2,4,2,anisotropic_band,9207
2,0.09527452984169167,0.6377662291521933,0.061739087211303896,0.6200311453359468,2,5,2,anisotropic_band,9207
3,0.6854251686552285,0.42180665340370843,0.09221204226797189,0.8420761362763206,5,4,2,anisotropic_band,9207
1,0.26857293811403826,0.6918821169109137,0.12023231518745611,0.6570956263801664,2,3,2,anisotropic_band,9208
2,0.879457803293366,0.13156635677832076,0.1033266101088696,0.9565957465212278,5,5,2,anisotropic_band,9208
1,0.6053906296806251,0.11014028438677616,0.1327970275544939,0.7131454638121745,2,3,2,anisotropic_band,9209
2,0.20267048736223692,0.4899094928197406,0.08062380946186011,0.9904356078567171,5,4,2,anisotropic_band,9209
3,0.7703950704483741,0.8849241668901843,0.0988659064505732,0.920499592741951,5,5,2,anisotropic_band,9209
1,0.6060216971552619,0.34554043766744463,0.09944101325453035,0.5705190889242091,4,5,2,moving_center,9210
2,0.451952757734774,0.8573455479436655,0.13764735261317335,0.9093215088988987,4,3,2,moving_center,9210
1,0.22955489583696587,0.6565972028054764,0.1256479690476494,0.9130435111183508,5,5,2,moving_center,9211
1,0.919608616835897,0.7736521041916585,0.07085156410684122,0.7695811833743236,3,4,2,moving_center,9212
2,0.5178572803674713,0.3540026027974608,0.09494301124758628,0.8699873542818801,5,5,2,moving_center,9212
1,0.688204459343387,0.3122404752550195,0.06870451669232054,0.8890432780956521,4,4,2,dual_center,9210
2,0.4455882663734752,0.614618445614526,0.1205707860421939,0.8931091050303108,4,3,2,dual_center,9210
3,0.8792562791082142,0.7979696232614425,0.08484483250254216,0.6944088646931512,5,3,2,dual_center,9210
1,0.4975420210539691,0.8577046568748746,0.12017854826651518,0.6566592101876143,4,4,2,dual_center,9211
1,0.8097338950332953,0.5870867878254913,0.08574853176126802,0.6159107006221911,5,4,2,dual_center,9212
2,0.4753009226119675,0.1116139740502798,0.11883817790357615,0.9466403429276232,2,5,2,dual_center,9212
1,0.7608475537765051,0.4973490566980495,0.1399643057272395,0.9250962458913361,4,3,2,anisotropic_band,9210
2,0.8338708974253408,0.8006880194327471,0.08617111403766729,0.6845260547773828,5,5,2,anisotropic_band,9210
1,0.2839789935610279,0.48053862442422085,0.09100501908063029,0.7030275351528672,4,5,2,anisotropic_band,9211
1,0.8179205927252431,0.35866010485864175,0.067127978212864,0.7199598936476671,4,3,2,anisotropic_band,9212
